battle,link,date,coordinates
Battle of Garisi,https://en.wikipedia.org/wiki/Battle_of_Garisi,1556 AD,41.550°N 44.467°E
Third Battle of Kawanakajima,https://en.wikipedia.org/wiki/Battles_of_Kawanakajima,1557 AD,36.648611°N 138.194722°E
Campaign of Tlemcen,https://en.wikipedia.org/wiki/Campaign_of_Tlemcen,1557 AD,34.88278°N 1.31667°W
Battle of St. Quentin,https://en.wikipedia.org/wiki/Battle_of_St._Quentin_(1557),1557 AD,49.8486°N 3.2864°E
Battle of Lagunillas,https://en.wikipedia.org/wiki/Battle_of_Lagunillas,1557 AD,36.84722°S 73.09472°W
Siege of Kotte,https://en.wikipedia.org/wiki/Siege_of_Kotte_(1557%E2%80%9358),1557 AD,6.91083°N 79.8878361°E
Siege of Calais,https://en.wikipedia.org/wiki/Siege_of_Calais_(1558),1558 AD,50.9636°N 1.8474°E
Battle of Wadi al-Laban,https://en.wikipedia.org/wiki/Battle_of_Wadi_al-Laban,1558 AD,34.3°N 4.9°W
Siege of Narva,https://en.wikipedia.org/wiki/Siege_of_Narva_(1558),1558 AD,59.379167°N 28.200556°E
Battle of Gravelines,https://en.wikipedia.org/wiki/Battle_of_Gravelines_(1558),1558 AD,50.98722°N 2.12833°E
Mostaganem Expedition,https://en.wikipedia.org/wiki/Expedition_to_Mostaganem_(1558),1558 AD,35.9333°N 0.08333°E
Battle of Quiapo,https://en.wikipedia.org/wiki/Battle_of_Quiapo,1558 AD,37.4397000°S 73.5859722°W
Battle of Mulleriyawa,https://en.wikipedia.org/wiki/Battle_of_Mulleriyawa,1559 AD,6.9363306°N 79.9482333°E
Battle of Glasgow,https://en.wikipedia.org/wiki/Battle_of_Glasgow_(1560),1560 AD,52.350°N 14.550°E
Battle of Djerba,https://en.wikipedia.org/wiki/Battle_of_Djerba,1560 AD,33.7833°N 10.8833°E
Siege of Marune,https://en.wikipedia.org/wiki/Siege_of_Marune,1560 AD,35.06444°N 136.94528°E
Battle of Okehazama,https://en.wikipedia.org/wiki/Battle_of_Okehazama,1560 AD,35.05028°N 136.99667°E
Battle of Ērģeme,https://en.wikipedia.org/wiki/Battle_of_%C4%92r%C4%A3eme,1560 AD,57.805506°N 25.815828°E
Fourth Battle of Kawanakajima,https://en.wikipedia.org/wiki/Battles_of_Kawanakajima,1561 AD,36.648611°N 138.194722°E
Battle of Corrichie,https://en.wikipedia.org/wiki/Battle_of_Corrichie,1562 AD,57.1018°N 2.444°W
Battle of Dreux,https://en.wikipedia.org/wiki/Battle_of_Dreux,1562 AD,48.675°N 1.389°E
Siege of Orléans,https://en.wikipedia.org/wiki/Siege_of_Orl%C3%A9ans_(1563),1563 AD,47.902°N 1.909°E
Battle of Öland,https://en.wikipedia.org/wiki/Battle_of_%C3%96land_(1563),1563 AD,56.745927194°N 17.187130194°E
Battle of Ula,https://en.wikipedia.org/wiki/Battle_of_Ula,1564 AD,54.850°N 29.150°E
Fifth Battle of Kawanakajima,https://en.wikipedia.org/wiki/Battles_of_Kawanakajima,1564 AD,36.648611°N 138.194722°E
Battle of Kōnodai,https://en.wikipedia.org/wiki/Battle_of_K%C5%8Dnodai_(1564),1564 AD,35.760278°N 139.895111°E
