battle,link,date,coordinates
Siege of Sharuhen,https://en.wikipedia.org/wiki/Siege_of_Sharuhen,c. 1530 BC,31.28194°N 34.48250°E
Siege of Kerma,https://en.wikipedia.org/wiki/Kerma_culture,c. 1504 BC,19.600802°N 30.409731°E
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),c. 1457 BC,32.5831611°N 35.1820861°E
Battle of Jericho,https://en.wikipedia.org/wiki/Battle_of_Jericho,c. 1400 BC,31.833°N 35.433°E
Battle of Kadesh,https://en.wikipedia.org/wiki/Battle_of_Kadesh,c. 1274 BC,34.57°N 36.51°E
Battle of the Tollense,https://en.wikipedia.org/wiki/Tollense_valley_battlefield,c. 1250 BC,53.89917°N 13.03250°E
Siege of Jebus,https://en.wikipedia.org/wiki/Siege_of_Jebus,c. 1010 BC,31.783°N 35.217°E
Battle of Karkar,https://en.wikipedia.org/wiki/Battle_of_Karkar,853 BC,35.742646°N 36.330543°E
Siege of Gezer (c.733 BC),https://en.wikipedia.org/wiki/Siege_of_Gezer_(c.733_BC),733 BC,31.859000°N 34.919000°E
Siege of Jerusalem (701 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(701_BC),701 BC,31.768319°N 35.21371°E
Battle of Susa,https://en.wikipedia.org/wiki/Battle_of_Susa,647 BC,32.18922°N 48.25778°E
Battle of Loulin,https://en.wikipedia.org/wiki/Battle_of_Loulin,645 BC,32.866667°N 117.566667°E
Battle of Chengpu,https://en.wikipedia.org/wiki/Battle_of_Chengpu,632 BC,34.6711°N 114.5290°E
Battle of Arrapha,https://en.wikipedia.org/wiki/Battle_of_Arrapha,616 BC,35.46667°N 44.31667°E
Battle of Nineveh,https://en.wikipedia.org/wiki/Battle_of_Nineveh_(612_BC),612 BC,36.35944°N 43.15278°E
Battle of Megiddo,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(609_BC),609 BC,32.583°N 35.183°E
Battle of Carchemish,https://en.wikipedia.org/wiki/Battle_of_Carchemish,605 BC,36.8297°N 38.0150°E
Battle of Hamath,https://en.wikipedia.org/wiki/Battle_of_Hamath,605 BC,35.133°N 36.750°E
Siege of Jerusalem (597 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(597_BC),597 BC,31.78333306°N 35.21666694°E
Battle of An,https://en.wikipedia.org/wiki/Battle_of_An,588 BC,36.7286000°N 117.0638500°E
Siege of Jerusalem (587 BC),https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(587_BC),587 BC,31.783°N 35.217°E
Siege of Tyre (586–573 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(586%E2%80%93573_BC),586-573 BC,33.27083°N 35.19611°E
Battle of Pasargadae,https://en.wikipedia.org/wiki/Battle_of_Pasargadae,550 BC,30.20000°N 53.17944°E
Battle of Pteria,https://en.wikipedia.org/wiki/Battle_of_Pteria,547 BC,39.9167°N 35.3333°E
Battle of Thymbra,https://en.wikipedia.org/wiki/Battle_of_Thymbra,547 BC,38.66667°N 27.83333°E
Siege of Sardis (547 BC),https://en.wikipedia.org/wiki/Siege_of_Sardis_(547_BC),547 BC,38.48333°N 28.03333°E
Battle of Alalia,https://en.wikipedia.org/wiki/Battle_of_Alalia,540 BC,42.1041973°N 9.55267913°E
Siege of Xanthos,https://en.wikipedia.org/wiki/Xanthos,540 BC,36.35611°N 29.31861°E
Battle of Opis,https://en.wikipedia.org/wiki/Battle_of_Opis,539 BC-538 BC,33.18139°N 44.70000°E
Battle of Pelusium,https://en.wikipedia.org/wiki/Battle_of_Pelusium,525 BC,31.041667°N 32.545°E
Siege of Naxos,https://en.wikipedia.org/wiki/Siege_of_Naxos_(499_BC),499 BC,37.083°N 25.467°E
Battle of Lake Regillus,https://en.wikipedia.org/wiki/Battle_of_Lake_Regillus,496 BC,41.84028°N 12.69306°E
Battle of Lade,https://en.wikipedia.org/wiki/Battle_of_Lade,494 BC,37.53023306°N 27.27836889°E
Siege of Eretria,https://en.wikipedia.org/wiki/Siege_of_Eretria,490 BC,38.392801°N 23.794298°E
Battle of Marathon,https://en.wikipedia.org/wiki/Battle_of_Marathon,490 BC,38.11806°N 23.97833°E
Battle of Thermopylae,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,480 BC,38.796607°N 22.536714°E
Battle of Artemisium,https://en.wikipedia.org/wiki/Battle_of_Artemisium,480 BC,39.05000°N 23.20000°E
Battle of Salamis,https://en.wikipedia.org/wiki/Battle_of_Salamis,480 BC,37.95139°N 23.56667°E
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_Himera_(480_BC),480 BC,37.9739972°N 13.8239861°E
Battle of Plataea,https://en.wikipedia.org/wiki/Battle_of_Plataea,479 BC,38.21°N 23.29°E
Battle of Mycale,https://en.wikipedia.org/wiki/Battle_of_Mycale,479 BC,37.635985°N 27.107677°E
Battle of Lize,https://en.wikipedia.org/wiki/Battle_of_Lize,478 BC,30.8997°N 120.953°E
Battle of the Cremera,https://en.wikipedia.org/wiki/Battle_of_the_Cremera,477 BC,42.02881694°N 12.42450000°E
Battle of the Eurymedon,https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon,466 BC,36.83000°N 31.17306°E
Battle of Mount Algidus,https://en.wikipedia.org/wiki/Battle_of_Mount_Algidus,458 BC,41.72305611°N 12.76944389°E
Battle of Tanagra,https://en.wikipedia.org/wiki/Battle_of_Tanagra_(457_BC),457 BC,38.317°N 23.533°E
Battle of Oenophyta,https://en.wikipedia.org/wiki/Battle_of_Oenophyta,457 BC,38.300°N 23.633°E
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(447_BC),447 BC,38.350°N 22.967°E
Battle of Potidaea,https://en.wikipedia.org/wiki/Battle_of_Potidaea,432 BC,40.1937°N 23.3278°E
Battle of Spartolos,https://en.wikipedia.org/wiki/Battle_of_Spartolos,429 BC,40.2832°N 23.2954°E
Battle of Rhium,https://en.wikipedia.org/wiki/Battle_of_Rhium,429 BC,38.300°N 21.783°E
Battle of Naupactus,https://en.wikipedia.org/wiki/Battle_of_Naupactus_(429_BC),429 BC,38.3914°N 21.8297°E
Battle of Olpae,https://en.wikipedia.org/wiki/Battle_of_Olpae,426 BC,38.949996°N 21.149835°E
Battle of Pylos,https://en.wikipedia.org/wiki/Battle_of_Pylos,425 BC,36.917°N 21.700°E
Battle of Sphacteria,https://en.wikipedia.org/wiki/Battle_of_Sphacteria,425 BC,36.9301361°N 21.6657250°E
Battle of Delium,https://en.wikipedia.org/wiki/Battle_of_Delium,424 BC,38.34806°N 23.64917°E
Battle of Amphipolis,https://en.wikipedia.org/wiki/Battle_of_Amphipolis,422 BC,40.823681°N 23.84705°E
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),418 BC,37.6°N 22.4°E
Battle of Melos,https://en.wikipedia.org/wiki/Battle_of_Melos,415 BC,36.683°N 24.417°E
Battle of Syracuse,https://en.wikipedia.org/wiki/Battle_of_Syracuse_(415_BC),415 BC,37.0833°N 15.2833°E
Battle of Cynossema,https://en.wikipedia.org/wiki/Battle_of_Cynossema,411 BC,40.142369°N 26.38775°E
Battle of Cyzicus,https://en.wikipedia.org/wiki/Battle_of_Cyzicus,410 BC,40.38°N 27.89°E
Battle of Notium,https://en.wikipedia.org/wiki/Battle_of_Notium,406 BC,37.99278°N 26.84750°E
Battle of Arginusae,https://en.wikipedia.org/wiki/Battle_of_Arginusae,406 BC,39.033°N 26.800°E
Siege of Akragas (406 BC),https://en.wikipedia.org/wiki/Siege_of_Akragas_(406_BC),406 BC,37.317°N 13.583°E
Battle of Aegospotami,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,405 BC,40.250°N 26.550°E
Sack of Camarina (405 BC),https://en.wikipedia.org/wiki/Sack_of_Camarina_(405_BC),405 BC,36.8721°N 14.4477°E
Battle of Munychia,https://en.wikipedia.org/wiki/Battle_of_Munychia,404 or 403 BC,37.941°N 23.656°E
Battle of Cunaxa,https://en.wikipedia.org/wiki/Battle_of_Cunaxa,401 BC,33.32500°N 44.08000°E
Siege of Syracuse (397 BC),https://en.wikipedia.org/wiki/Siege_of_Syracuse_(397_BC),397 BC,37.06917°N 15.28750°E
Battle of Veii,https://en.wikipedia.org/wiki/Battle_of_Veii,396 BC,42.02389°N 12.40139°E
Battle of Haliartus,https://en.wikipedia.org/wiki/Battle_of_Haliartus,395 BC,38.37917°N 23.08778°E
Battle of Sardis,https://en.wikipedia.org/wiki/Battle_of_Sardis,395 BC,38.48333°N 28.03333°E
Battle of Nemea,https://en.wikipedia.org/wiki/Battle_of_Nemea_(394_BC),394 BC,37.8089°N 22.7103°E
Battle of Cnidus,https://en.wikipedia.org/wiki/Battle_of_Cnidus,394 BC,36.68583°N 27.37500°E
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),394 BC,38.350°N 22.967°E
Battle of Lechaeum,https://en.wikipedia.org/wiki/Battle_of_Lechaeum,391 BC,37.934142°N 22.884225°E
Battle of the Allia,https://en.wikipedia.org/wiki/Battle_of_the_Allia,390 BC,42.01750°N 12.52000°E
Siege of Mantinea,https://en.wikipedia.org/wiki/Siege_of_Mantinea,385 BC,37.6176417°N 22.3928694°E
Battle of Naxos,https://en.wikipedia.org/wiki/Battle_of_Naxos,376 BC,37.106821°N 25.375576°E
Battle of Tegyra,https://en.wikipedia.org/wiki/Battle_of_Tegyra,375 BC,38.534199°N 22.957728°E
Battle of Leuctra,https://en.wikipedia.org/wiki/Battle_of_Leuctra,371 BC,38.26466°N 23.17428°E
Battle of Cynoscephalae,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae_(364_BC),364 BC,39.36°N 22.83°E
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(362_BC),362 BC,37.6°N 22.4°E
Battle of Mount Gaurus,https://en.wikipedia.org/wiki/Battle_of_Mount_Gaurus,343 BC,40.84861111°N 14.05361111°E
Battle of Suessula,https://en.wikipedia.org/wiki/Battle_of_Suessula,343 BC,40.983°N 14.400°E
Battle of Maling,https://en.wikipedia.org/wiki/Battle_of_Maling,342 BC,35.8858°N 115.3975°E
Battle of Vesuvius,https://en.wikipedia.org/wiki/Battle_of_Vesuvius,339 BC,40.8211°N 14.4261°E
Battle of the Crimissus,https://en.wikipedia.org/wiki/Battle_of_the_Crimissus,339 BC,37.94083°N 12.83750°E
Battle of Chaeronea,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),338 BC,38.350°N 22.967°E
Battle of the Granicus,https://en.wikipedia.org/wiki/Battle_of_the_Granicus,334 BC,40.3167082°N 27.2811127°E
Siege of Miletus,https://en.wikipedia.org/wiki/Siege_of_Miletus,334 BC,37.53028°N 27.27833°E
Siege of Halicarnassus,https://en.wikipedia.org/wiki/Siege_of_Halicarnassus,334 BC,37.0333°N 27.4333°E
Battle of Issus,https://en.wikipedia.org/wiki/Battle_of_Issus,333 BC,36.7525°N 36.1923°E
Siege of Tyre (332 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(332_BC),332 BC,33.27083°N 35.19611°E
Siege of Gaza,https://en.wikipedia.org/wiki/Siege_of_Gaza,332 BC,31.517°N 34.450°E
Battle of Megalopolis,https://en.wikipedia.org/wiki/Battle_of_Megalopolis,331 BC,37.4011°N 22.1422°E
Battle of Gaugamela,https://en.wikipedia.org/wiki/Battle_of_Gaugamela,331 BC,36.56°N 43.444°E
Battle of the Uxian Defile,https://en.wikipedia.org/wiki/Battle_of_the_Uxian_Defile,331 BC,32.19056°N 48.25056°E
Battle of the Persian Gate,https://en.wikipedia.org/wiki/Battle_of_the_Persian_Gate,330 BC,30.70833°N 51.59861°E
Siege of Cyropolis,https://en.wikipedia.org/wiki/Siege_of_Cyropolis,329 BC,40.283333°N 69.633333°E
Battle of Jaxartes,https://en.wikipedia.org/wiki/Battle_of_Jaxartes,329 BC,40.28333°N 69.61667°E
Capture of Neapolis,https://en.wikipedia.org/wiki/Capture_of_Neapolis,327 BC,40.8333°N 14.2500°E
Siege of the Sogdian Rock,https://en.wikipedia.org/wiki/Siege_of_the_Sogdian_Rock,327 BC,40.4°N 69.4°E
Battle of the Hydaspes,https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,326 BC,32.82778°N 73.63889°E
Battle of Thermopylae (323 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(323_BC),323 BC,38.8053°N 22.5628°E
Battle of the Caudine Forks,https://en.wikipedia.org/wiki/Battle_of_the_Caudine_Forks,321 BC,41.1500°N 14.5333°E
Battle of the Hellespont (321 BC),https://en.wikipedia.org/wiki/Battle_of_the_Hellespont_(321_BC),321 BC,40°N 28°E
Battle of Byzantium,https://en.wikipedia.org/wiki/Battle_of_Byzantium,317 BC,40.2°N 26.4°E
Battle of Paraitakene,https://en.wikipedia.org/wiki/Battle_of_Paraitakene,317 BC,32.6333°N 51.6500°E
Battle of Gabiene,https://en.wikipedia.org/wiki/Battle_of_Gabiene,315 BC,31.777205°N 51.801649°E
Battle of Gaza,https://en.wikipedia.org/wiki/Battle_of_Gaza_(312_BC),312 BC,31.517°N 34.450°E
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(311_BC),311 BC,37.100°N 13.933°E
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(310_BC),310 BC,42.484194°N 12.323194°E
Battle of Salamis in Cyprus (306 BC),https://en.wikipedia.org/wiki/Battle_of_Salamis_in_Cyprus_(306_BC),306 BC,35.167°N 33.917°E
Battle of Bovianum,https://en.wikipedia.org/wiki/Battle_of_Bovianum,305 BC,41.48333306°N 14.46666694°E
Siege of Rhodes (305 BC),https://en.wikipedia.org/wiki/Siege_of_Rhodes_(305_BC),305-304 BC,36.1667°N 28.0000°E
Battle of Ipsus,https://en.wikipedia.org/wiki/Battle_of_Ipsus,301 BC,38.95°N 30.99°E
Battle of Camerinum,https://en.wikipedia.org/wiki/Battle_of_Camerinum,298 BC,43.14027806°N 13.06888889°E
Battle of Tifernum,https://en.wikipedia.org/wiki/Battle_of_Tifernum,297 BC,43.46083306°N 12.24388889°E
Battle of Yique,https://en.wikipedia.org/wiki/Battle_of_Yique,293 BC,34.55556°N 112.46972°E
Siege of Thebes,https://en.wikipedia.org/wiki/Siege_of_Thebes_(292%E2%80%93291_BC),291 BC,38.3241694°N 23.3236111°E
Battle of Arretium,https://en.wikipedia.org/wiki/Battle_of_Arretium,284 BC,43.463000°N 11.883306°E
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(283_BC),283 BC,42.48414500°N 12.32319194°E
Battle of Corupedium,https://en.wikipedia.org/wiki/Battle_of_Corupedium,281 BC,38.546466°N 27.617792°E
Battle of Heraclea,https://en.wikipedia.org/wiki/Battle_of_Heraclea,280 BC,40.22000°N 16.66972°E
Battle of Asculum,https://en.wikipedia.org/wiki/Battle_of_Asculum,279 BC,41.2156°N 15.5578°E
Battle of Thermopylae (279 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(279_BC),279 BC,38.8053°N 22.5628°E
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(275_BC),275 BC,41.133°N 14.783°E
Siege of Sparta,https://en.wikipedia.org/wiki/Siege_of_Sparta,272 BC,37.08194°N 22.42361°E
Battle of Argos,https://en.wikipedia.org/wiki/Battle_of_Argos,272 BC,37.617°N 22.717°E
Battle of Messana,https://en.wikipedia.org/wiki/Battle_of_Messana,264 BC,38.1800°N 15.5614°E
Battle of Agrigentum,https://en.wikipedia.org/wiki/Battle_of_Agrigentum,262 BC,37.3167°N 13.5833°E
Battle of Cos,https://en.wikipedia.org/wiki/Battle_of_Cos,261 BC,36.8500°N 27.2333°E
Battle of Changping,https://en.wikipedia.org/wiki/Battle_of_Changping,260 BC,35.79806°N 112.92389°E
Battle of the Lipara Islands,https://en.wikipedia.org/wiki/Battle_of_the_Lipara_Islands,260 BC,38.47250°N 14.96083°E
Battle of Mylae,https://en.wikipedia.org/wiki/Battle_of_Mylae,260 BC,38.2167°N 15.2333°E
Battle of Sulci,https://en.wikipedia.org/wiki/Battle_of_Sulci,258 BC,39.0667°N 8.4500°E
Battle of Tyndaris,https://en.wikipedia.org/wiki/Battle_of_Tyndaris,257 BC,38.14556°N 15.03972°E
Battle of Cape Ecnomus,https://en.wikipedia.org/wiki/Battle_of_Cape_Ecnomus,256 BC,37.0500°N 13.9000°E
Siege of Aspis,https://en.wikipedia.org/wiki/Siege_of_Aspis,255 BC,36.850°N 11.100°E
Battle of Adys,https://en.wikipedia.org/wiki/Battle_of_Adys,255 BC,36.60694°N 10.17361°E
Battle of Tunis,https://en.wikipedia.org/wiki/Battle_of_Tunis,255 BC,36.7975°N 10.1659°E
Battle of Panormus,https://en.wikipedia.org/wiki/Battle_of_Panormus,251 BC,38.117°N 13.367°E
Siege of Lilybaeum (250–241 BC),https://en.wikipedia.org/wiki/Siege_of_Lilybaeum_(250%E2%80%93241_BC),250 BC,37.80250°N 12.43000°E
Battle of Drepana,https://en.wikipedia.org/wiki/Battle_of_Drepana,249 BC,38.01000°N 12.50500°E
Battle of Phintias,https://en.wikipedia.org/wiki/Battle_of_Phintias,249 BC,38.0167°N 12.5167°E
Siege of Drepana,https://en.wikipedia.org/wiki/Siege_of_Drepana,248 BC,38.0167°N 12.5167°E
Battle of the Aegates Islands,https://en.wikipedia.org/wiki/Battle_of_the_Aegates_Islands,241 BC,37.97°N 12.20°E
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica,240 BC,37.058052°N 10.062855°E
Battle of the Bagradas River,https://en.wikipedia.org/wiki/Battle_of_the_Bagradas_River_(240_BC),240 BC,37.11000°N 10.13000°E
Battle of Mount Lycaeum,https://en.wikipedia.org/wiki/Battle_of_Mount_Lycaeum,227 BC,37.45694°N 21.97500°E
Battle of Faesulae,https://en.wikipedia.org/wiki/Battle_of_Faesulae,225 BC,43.46027806°N 12.38638889°E
Battle of Telamon,https://en.wikipedia.org/wiki/Battle_of_Telamon,225 BC,42.555°N 11.133°E
Battle of Clastidium,https://en.wikipedia.org/wiki/Battle_of_Clastidium,222 BC,45.01666694°N 9.13333306°E
Battle of Sellasia,https://en.wikipedia.org/wiki/Battle_of_Sellasia,222 BC,37.167°N 22.417°E
Siege of Saguntum,https://en.wikipedia.org/wiki/Siege_of_Saguntum,218 BC,39.677°N 0.280°W
Battle of Lilybaeum,https://en.wikipedia.org/wiki/Battle_of_Lilybaeum,218 BC,37.80000000°N 12.43333306°E
Battle of Rhone Crossing,https://en.wikipedia.org/wiki/Battle_of_Rhone_Crossing,218 BC,44.13833306°N 4.80972194°E
Battle of the Ticinus,https://en.wikipedia.org/wiki/Battle_of_the_Ticinus,218 BC,45.25000°N 8.86667°E
Battle of the Trebia,https://en.wikipedia.org/wiki/Battle_of_the_Trebia,218 BC,45.05000°N 9.60000°E
Battle of Cissa,https://en.wikipedia.org/wiki/Battle_of_Cissa,218 BC,41.1157°N 1.2496°E
Battle of Raphia,https://en.wikipedia.org/wiki/Battle_of_Raphia,217 BC,31.28861°N 34.25194°E
Battle of Lake Trasimene,https://en.wikipedia.org/wiki/Battle_of_Lake_Trasimene,217 BC,43.19750°N 12.08500°E
Battle of Ebro River,https://en.wikipedia.org/wiki/Battle_of_Ebro_River,217 BC,40.72000°N 0.86306°E
Battle of Ager Falernus,https://en.wikipedia.org/wiki/Battle_of_Ager_Falernus,217 BC,41.1833°N 14.5500°E
Battle of Geronium,https://en.wikipedia.org/wiki/Battle_of_Geronium,217 BC,41.7618°N 14.7334°E
Battle of Cannae,https://en.wikipedia.org/wiki/Battle_of_Cannae,216 BC,41.30639°N 16.13250°E
First Battle of Nola,https://en.wikipedia.org/wiki/First_Battle_of_Nola,216 BC,40.9261°N 14.5275°E
Battle of Dertosa,https://en.wikipedia.org/wiki/Battle_of_Dertosa,215 BC,40.8°N 0.516°E
Second Battle of Nola,https://en.wikipedia.org/wiki/Second_Battle_of_Nola,215 BC,40.9261°N 14.5275°E
Battle of Cornus,https://en.wikipedia.org/wiki/Battle_of_Cornus,215 BC,40.09333°N 8.50806°E
Third Battle of Nola,https://en.wikipedia.org/wiki/Third_Battle_of_Nola,214 BC,40.9261°N 14.5275°E
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(214_BC),214 BC,41.1333°N 14.7833°E
Siege of Syracuse,https://en.wikipedia.org/wiki/Siege_of_Syracuse_(214%E2%80%93212_BC),214 BC,37.0833°N 15.2833°E
Battle of Tarentum,https://en.wikipedia.org/wiki/Battle_of_Tarentum_(212_BC),212 BC,40.467°N 17.233°E
First Battle of Capua,https://en.wikipedia.org/wiki/Battle_of_Capua_(212_BC),212 BC,41.0833°N 14.2500°E
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(212_BC),212 BC,41.1333°N 14.7833°E
Battle of the Silarus,https://en.wikipedia.org/wiki/Battle_of_the_Silarus,212 BC,40.48162806°N 14.94253111°E
Battle of Herdonia,https://en.wikipedia.org/wiki/Battle_of_Herdonia,212 BC,41.3167°N 15.6333°E
Battle of the Upper Baetis,https://en.wikipedia.org/wiki/Battle_of_the_Upper_Baetis,211 BC,36.783°N 6.350°W
Second Battle of Capua,https://en.wikipedia.org/wiki/Second_Battle_of_Capua,211 BC,41.0833°N 14.2500°E
Second Battle of Herdonia,https://en.wikipedia.org/wiki/Second_Battle_of_Herdonia,210 BC,41.3167°N 15.6333°E
Battle of Numistro,https://en.wikipedia.org/wiki/Battle_of_Numistro,210 BC,38.975597°N 16.319791°E
Battle of Canusium,https://en.wikipedia.org/wiki/Battle_of_Canusium,209 BC,41.2366°N 16.0660°E
Battle of Tarentum,https://en.wikipedia.org/wiki/Battle_of_Tarentum_(209_BC),209 BC,40.467°N 17.233°E
Battle of Baecula,https://en.wikipedia.org/wiki/Battle_of_Baecula,208 BC,38.007°N 3.119°W
Battle of Grumentum,https://en.wikipedia.org/wiki/Battle_of_Grumentum,207 BC,40.28389°N 15.90611°E
Battle of Julu,https://en.wikipedia.org/wiki/Battle_of_Julu,207 BC,37.0667°N 114.4833°E
Battle of the Metaurus,https://en.wikipedia.org/wiki/Battle_of_the_Metaurus,207 BC,43.7824°N 13.0145°E
Battle of Cartagena,https://en.wikipedia.org/wiki/Battle_of_Cartagena_(207_BC),207 BC,37.600°N 0.983°W
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(207_BC),207 BC,37.6°N 22.4°E
Battle of Ilipa,https://en.wikipedia.org/wiki/Battle_of_Ilipa,206 BC,37.548825°N 5.936332°W
Battle of Pengcheng,https://en.wikipedia.org/wiki/Battle_of_Pengcheng,205 BC,34.267°N 117.167°E
Battle of Anyi,https://en.wikipedia.org/wiki/Battle_of_Anyi,205 BC,28.84500°N 115.54889°E
Battle of Crotona,https://en.wikipedia.org/wiki/Battle_of_Crotona,204 BC,39.0833°N 17.1167°E
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica_(204_BC),204 BC,37.05694°N 10.06194°E
Battle of Utica,https://en.wikipedia.org/wiki/Battle_of_Utica_(203_BC),203 BC,37.0565°N 10.0623°E
Battle of Bagbrades,https://en.wikipedia.org/wiki/Battle_of_Bagbrades,203 BC,37.057944°N 10.0625972°E
Battle of Cirta,https://en.wikipedia.org/wiki/Battle_of_Cirta,203 BC,36.3675°N 6.6119°E
Po Valley Raid,https://en.wikipedia.org/wiki/Po_Valley_Raid,203 BC,45.46666694°N 9.16666694°E
Battle of Zama,https://en.wikipedia.org/wiki/Battle_of_Zama,202 BC,36.29889°N 9.44917°E
Battle of Gaixia,https://en.wikipedia.org/wiki/Battle_of_Gaixia,202 BC,33.32777806°N 117.55111111°E
Battle of Lade,https://en.wikipedia.org/wiki/Battle_of_Lade_(201_BC),201 BC,37.530233°N 27.278369°E
Battle of Panium,https://en.wikipedia.org/wiki/Battle_of_Panium,200 BC,33.24861°N 35.69444°E
Battle of the Aous,https://en.wikipedia.org/wiki/Battle_of_the_Aous_(198_BC),198 BC,40.64278°N 19.31722°E
Battle of Cynoscephalae,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae,197 BC,39.417°N 22.567°E
Battle of Placentia,https://en.wikipedia.org/wiki/Battle_of_Placentia_(194_BC),194 BC,45.03333306°N 9.70000000°E
Battle of Mutina,https://en.wikipedia.org/wiki/Battle_of_Mutina_(194_BC),194 BC,45.03333306°N 9.70000000°E
Battle of Thermopylae,https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(191_BC),191 BC,38.8000°N 22.5333°E
Battle of the Eurymedon,https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon_(190_BC),190 BC,36.4600°N 31.2320°E
Battle of Myonessus,https://en.wikipedia.org/wiki/Battle_of_Myonessus,190 BC,38.0244°N 26.5118°E
Battle of Magnesia,https://en.wikipedia.org/wiki/Battle_of_Magnesia,190 BC,38.6167°N 27.4333°E
Battle of Mount Olympus,https://en.wikipedia.org/wiki/Battle_of_Mount_Olympus,189 BC,40.06944°N 29.22139°E
Battle of Callicinus,https://en.wikipedia.org/wiki/Battle_of_Callicinus,171 BC,39.632098°N 22.419935°E
Battle of Pydna,https://en.wikipedia.org/wiki/Battle_of_Pydna,168 BC,40.36528°N 22.61306°E
Battle of Wadi Haramia,https://en.wikipedia.org/wiki/Battle_of_Wadi_Haramia,167 BC,32.05444°N 35.24083°E
Battle of Beth Horon (166 BC),https://en.wikipedia.org/wiki/Battle_of_Beth_Horon_(166_BC),166 BC,31.8855°N 35.1154°E
Battle of Emmaus,https://en.wikipedia.org/wiki/Battle_of_Emmaus,166 BC,31.8393000°N 34.9894583°E
Battle of Beth Zur,https://en.wikipedia.org/wiki/Battle_of_Beth_Zur,164 BC,31.5894°N 35.0942°E
Battle of Beth Zachariah,https://en.wikipedia.org/wiki/Battle_of_Beth_Zachariah,162 BC,31.6640000°N 35.1232500°E
Battle of Adasa,https://en.wikipedia.org/wiki/Battle_of_Adasa,161 BC,31.8333°N 35.2333°E
Battle of Elasa,https://en.wikipedia.org/wiki/Battle_of_Elasa,160 BC,31.8760833°N 35.2083056°E
Battle of Lake Tunis,https://en.wikipedia.org/wiki/Battle_of_Lake_Tunis,149 BC,36.817°N 10.250°E
Battle of Pydna,https://en.wikipedia.org/wiki/Battle_of_Pydna_(148_BC),148 BC,40.36666694°N 22.58333306°E
Battle of Nepheris,https://en.wikipedia.org/wiki/Battle_of_Nepheris_(147_BC),147 BC,36.61510611°N 10.38306806°E
Battle of Carthage (c.149 BC),https://en.wikipedia.org/wiki/Battle_of_Carthage_(c.149_BC),146 BC,36.8531°N 10.3231°E
Battle of Corinth,https://en.wikipedia.org/wiki/Battle_of_Corinth_(146_BC),146 BC,37.9053°N 22.8802°E
Siege of Numantia,https://en.wikipedia.org/wiki/Siege_of_Numantia,133 BC,41.8096°N 2.4443°W
Battle of Ecbatana,https://en.wikipedia.org/wiki/Battle_of_Ecbatana,129 BC,34.7961°N 48.5158°E
Siege of Cirta,https://en.wikipedia.org/wiki/Siege_of_Cirta,113 BC,36.3675°N 6.611944°E
Siege of Zama,https://en.wikipedia.org/wiki/Siege_of_Zama,109 BC,36.1120°N 9.2856°E
Siege of Thala,https://en.wikipedia.org/wiki/Siege_of_Thala,108 BC,35.567°N 8.667°E
Battle of Arausio,https://en.wikipedia.org/wiki/Battle_of_Arausio,105 BC,44.13333306°N 4.80000000°E
Battle of Aquae Sextae,https://en.wikipedia.org/wiki/Battle_of_Aquae_Sextae,102 BC,43.52806°N 5.45194°E
Battle of Vercellae,https://en.wikipedia.org/wiki/Battle_of_Vercellae,101 BC,45.31666694°N 8.41666694°E
