battle,link,date
Battle of Mendesium,https://en.wikipedia.org/wiki/Wars_of_the_Delian_League,454 BC
Battle of Jinyang,https://en.wikipedia.org/wiki/Battle_of_Jinyang,453 BC
Siege of Citium,https://en.wikipedia.org/wiki/Siege_of_Citium,450 BC
Battle of Salamis,https://en.wikipedia.org/wiki/Battle_of_Salamis_(in_Cyprus),450 BC
Battle of Nomae,https://en.wikipedia.org/wiki/Battle_of_Nomae,450 BC
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(447_BC),447 BC
Battle of Corbio,https://en.wikipedia.org/wiki/Battle_of_Corbio,446 BC
Battle of the Himera River (446 BC),https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(446_BC),446 BC
Capture of Fidenae,https://en.wikipedia.org/wiki/Capture_of_Fidenae_(435_BC),435 BC
Siege of Epidamnus,https://en.wikipedia.org/wiki/Siege_of_Epidamnus,435 BC
Battle of Sybota,https://en.wikipedia.org/wiki/Battle_of_Sybota,433 BC
Battle of Potidaea,https://en.wikipedia.org/wiki/Battle_of_Potidaea,432 BC
Battle of Spartolos,https://en.wikipedia.org/wiki/Battle_of_Spartolos,429 BC
Battle of Rhium,https://en.wikipedia.org/wiki/Battle_of_Rhium,429 BC
Battle of Naupactus,https://en.wikipedia.org/wiki/Battle_of_Naupactus_(429_BC),429 BC
Mytilenean revolt,https://en.wikipedia.org/wiki/Mytilenean_revolt,427 BC
Siege of Plataea,https://en.wikipedia.org/wiki/Siege_of_Plataea,427 BC
Battle of Tanagra,https://en.wikipedia.org/wiki/Battle_of_Tanagra_(426_BC),426 BC
Battle of Olpae,https://en.wikipedia.org/wiki/Battle_of_Olpae,426 BC
Battle of Idomene,https://en.wikipedia.org/wiki/Battle_of_Idomene,426 BC
Battle of Pylos,https://en.wikipedia.org/wiki/Battle_of_Pylos,425 BC
Battle of Sphacteria,https://en.wikipedia.org/wiki/Battle_of_Sphacteria,425 BC
Battle of Megara,https://en.wikipedia.org/wiki/Battle_of_Megara,424 BC
Battle of Delium,https://en.wikipedia.org/wiki/Battle_of_Delium,424 BC
Battle of Lyncestis,https://en.wikipedia.org/wiki/Battle_of_Lyncestis,423 BC
Battle of Amphipolis,https://en.wikipedia.org/wiki/Battle_of_Amphipolis,422 BC
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),418 BC
Battle of Hysiae,https://en.wikipedia.org/wiki/Battle_of_Hysiae_(417_BC),417 BC
Battle of Orneae,https://en.wikipedia.org/wiki/Battle_of_Orneae,417 BC
Battle of Melos,https://en.wikipedia.org/wiki/Battle_of_Melos,415 BC
Battle of Syracuse,https://en.wikipedia.org/wiki/Battle_of_Syracuse_(415_BC),415 BC
Battle of Eretria,https://en.wikipedia.org/wiki/Battle_of_Eretria,411 BC
Battle of Syme,https://en.wikipedia.org/wiki/Battle_of_Syme,411 BC
Battle of Cynossema,https://en.wikipedia.org/wiki/Battle_of_Cynossema,411 BC
Battle of Abydos,https://en.wikipedia.org/wiki/Battle_of_Abydos,410 BC
Battle of Cyzicus,https://en.wikipedia.org/wiki/Battle_of_Cyzicus,410 BC
Battle of Selinus,https://en.wikipedia.org/wiki/Battle_of_Selinus,409 BC
Battle of Himera (409 BC),https://en.wikipedia.org/wiki/Battle_of_Himera_(409_BC),409 BC
Battle of Notium,https://en.wikipedia.org/wiki/Battle_of_Notium,406 BC
Battle of Mytilene,https://en.wikipedia.org/wiki/Battle_of_Mytilene_(406_BC),406 BC
Battle of Arginusae,https://en.wikipedia.org/wiki/Battle_of_Arginusae,406 BC
Siege of Akragas (406 BC),https://en.wikipedia.org/wiki/Siege_of_Akragas_(406_BC),406 BC
Battle of Gela (405 BC),https://en.wikipedia.org/wiki/Battle_of_Gela_(405_BC),405 BC
Battle of Aegospotami,https://en.wikipedia.org/wiki/Battle_of_Aegospotami,405 BC
Sack of Camarina (405 BC),https://en.wikipedia.org/wiki/Sack_of_Camarina_(405_BC),405 BC
Battle of Phyle,https://en.wikipedia.org/wiki/Battle_of_Phyle,404 or 403 BC
Battle of Munychia,https://en.wikipedia.org/wiki/Battle_of_Munychia,404 or 403 BC
Battle of Piraeus,https://en.wikipedia.org/wiki/Battle_of_Piraeus,403 BC
Battle of Cunaxa,https://en.wikipedia.org/wiki/Battle_of_Cunaxa,401 BC
Siege of Motya,https://en.wikipedia.org/wiki/Siege_of_Motya,398 BC
Battle of Messene,https://en.wikipedia.org/wiki/Battle_of_Messene,397 BC
Battle of Catana (397 BC),https://en.wikipedia.org/wiki/Battle_of_Catana_(397_BC),397 BC
Siege of Syracuse (397 BC),https://en.wikipedia.org/wiki/Siege_of_Syracuse_(397_BC),397 BC
Battle of Veii,https://en.wikipedia.org/wiki/Battle_of_Veii,396 BC
Battle of Haliartus,https://en.wikipedia.org/wiki/Battle_of_Haliartus,395 BC
Battle of Sardis,https://en.wikipedia.org/wiki/Battle_of_Sardis,395 BC
Battle of Nemea,https://en.wikipedia.org/wiki/Battle_of_Nemea_(394_BC),394 BC
Battle of Cnidus,https://en.wikipedia.org/wiki/Battle_of_Cnidus,394 BC
Battle of Coronea,https://en.wikipedia.org/wiki/Battle_of_Coronea_(394_BC),394 BC
Siege of Tauromenium (394 BC),https://en.wikipedia.org/wiki/Siege_of_Tauromenium_(394_BC),394 BC
Battle of Abacaenum,https://en.wikipedia.org/wiki/Battle_of_Abacaenum,393 BC
Battle of Chrysas,https://en.wikipedia.org/wiki/Battle_of_Chrysas,392 BC
Battle of Lechaeum,https://en.wikipedia.org/wiki/Battle_of_Lechaeum,391 BC
Battle of the Allia,https://en.wikipedia.org/wiki/Battle_of_the_Allia,390 BC
Battle of the Elleporus,https://en.wikipedia.org/wiki/Battle_of_the_Elleporus,389 BC
Siege of Theodosia (389 BC),https://en.wikipedia.org/wiki/Siege_of_Theodosia_(389_BC),389 BC
Siege of Rhegium,https://en.wikipedia.org/wiki/Siege_of_Rhegium,386 BC
Siege of Mantinea,https://en.wikipedia.org/wiki/Siege_of_Mantinea,385 BC
Battle of Pharos,https://en.wikipedia.org/wiki/Battle_of_Pharos,384 BC
Battle of Labrytai,https://en.wikipedia.org/wiki/Battle_of_Labrytai,380 BC
Battle of Cabala,https://en.wikipedia.org/wiki/Battle_of_Cabala,377 BC
Battle of Cronium,https://en.wikipedia.org/wiki/Battle_of_Cronium,376 BC
Battle of Naxos,https://en.wikipedia.org/wiki/Battle_of_Naxos,376 BC
Battle of Tegyra,https://en.wikipedia.org/wiki/Battle_of_Tegyra,375 BC
