battle,link,date
Battle of the Neva (1708),https://en.wikipedia.org/wiki/Battle_of_the_Neva_(1708),1708 AD
Raid on Haverhill (1708),https://en.wikipedia.org/wiki/Raid_on_Haverhill_(1708),1708 AD
Battle of Malatitze,https://en.wikipedia.org/wiki/Battle_of_Malatitze,1708 AD
Battle of Rajovka,https://en.wikipedia.org/wiki/Battle_of_Rajovka,1708 AD
Battle of Koporye,https://en.wikipedia.org/wiki/Battle_of_Koporye,1708 AD
Battle of Lesnaya,https://en.wikipedia.org/wiki/Battle_of_Lesnaya,1708 AD
Battle of Wijnendale,https://en.wikipedia.org/wiki/Battle_of_Wijnendale,1708 AD
Evacuation of Kolkanpää,https://en.wikipedia.org/wiki/Evacuation_of_Kolkanp%C3%A4%C3%A4,1708 AD
Sack of Baturyn,https://en.wikipedia.org/wiki/Sack_of_Baturyn,1708 AD
Battle of Desna,https://en.wikipedia.org/wiki/Battle_of_Desna,1708 AD
Battle of Koniecpol,https://en.wikipedia.org/wiki/Battle_of_Koniecpol,1708 AD
Siege of Veprik,https://en.wikipedia.org/wiki/Siege_of_Veprik,1708 AD
Laghouat Expedition (1708–1713),https://en.wikipedia.org/wiki/Laghouat_Expedition_(1708%E2%80%931713),1708 AD
Battle of St. John's,https://en.wikipedia.org/wiki/Battle_of_St._John%27s,1709 AD
Battle of Oposhnya,https://en.wikipedia.org/wiki/Battle_of_Oposhnya,1709 AD
Battle of Krasnokutsk–Gorodnoye,https://en.wikipedia.org/wiki/Battle_of_Krasnokutsk%E2%80%93Gorodnoye,1709 AD
Battle of São Salvador,https://en.wikipedia.org/wiki/Battle_of_S%C3%A3o_Salvador,1709 AD
Battle of Sokolki,https://en.wikipedia.org/wiki/Battle_of_Sokolki,1709 AD
Battle of Fort Albany,https://en.wikipedia.org/wiki/Battle_of_Fort_Albany_(1709),1709 AD
Battle of Poltava,https://en.wikipedia.org/wiki/Battle_of_Poltava,1709 AD
Surrender at Perevolochna,https://en.wikipedia.org/wiki/Surrender_at_Perevolochna,1709 AD
Battle of Malplaquet,https://en.wikipedia.org/wiki/Battle_of_Malplaquet,1709 AD
Battle of Samana,https://en.wikipedia.org/wiki/Battle_of_Samana,1709 AD
Battle of Sonipat,https://en.wikipedia.org/wiki/Battle_of_Sonipat,1709 AD
Battle of Helsingborg,https://en.wikipedia.org/wiki/Battle_of_Helsingborg,1710 AD
Siege of Viborg (1710),https://en.wikipedia.org/wiki/Siege_of_Viborg_(1710),1710 AD
Battle of Chappar Chiri,https://en.wikipedia.org/wiki/Battle_of_Chappar_Chiri,1710 AD
Capitulation of Estonia and Livonia,https://en.wikipedia.org/wiki/Capitulation_of_Estonia_and_Livonia,1710 AD
Battle of Almenar,https://en.wikipedia.org/wiki/Battle_of_Almenar,1710 AD
Battle of Saragossa,https://en.wikipedia.org/wiki/Battle_of_Saragossa,1710 AD
Battle of Rio de Janeiro (1710),https://en.wikipedia.org/wiki/Battle_of_Rio_de_Janeiro_(1710),1710 AD
Battle of Køge Bay (1710),https://en.wikipedia.org/wiki/Battle_of_K%C3%B8ge_Bay_(1710),1710 AD
Battle of Rahon (1710),https://en.wikipedia.org/wiki/Battle_of_Rahon_(1710),1710 AD
Battle of Syracuse (1710),https://en.wikipedia.org/wiki/Battle_of_Syracuse_(1710),1710 AD
Battle of Brihuega,https://en.wikipedia.org/wiki/Battle_of_Brihuega,1710 AD
Battle of Villaviciosa,https://en.wikipedia.org/wiki/Battle_of_Villaviciosa,1710 AD
Russo-Turkish War (1710–1711),https://en.wikipedia.org/wiki/Russo-Turkish_War_(1710%E2%80%931711),1710 AD
Siege of Sirhind,https://en.wikipedia.org/wiki/Siege_of_Sirhind,1710 AD
Battle of Sadhaura,https://en.wikipedia.org/wiki/Battle_of_Sadhaura,1710 AD
Battle of Lohgarh,https://en.wikipedia.org/wiki/Battle_of_Lohgarh,1710 AD
Battle of Jalalabad (1710),https://en.wikipedia.org/wiki/Battle_of_Jalalabad_(1710),1710 AD
Battle of Ain Dara,https://en.wikipedia.org/wiki/Battle_of_Ain_Dara,1711 AD
First Battle of Bloody Creek,https://en.wikipedia.org/wiki/First_Battle_of_Bloody_Creek,1711 AD
Capture of the galleon San Joaquin,https://en.wikipedia.org/wiki/Capture_of_the_galleon_San_Joaquin,1711 AD
Quebec Expedition,https://en.wikipedia.org/wiki/Quebec_Expedition,1711 AD
Battle of Wismar (1711),https://en.wikipedia.org/wiki/Battle_of_Wismar_(1711),1711 AD
Siege of Stralsund (1711–1715),https://en.wikipedia.org/wiki/Siege_of_Stralsund_(1711%E2%80%931715),1711 AD
Cassard expedition,https://en.wikipedia.org/wiki/Cassard_expedition,1712 AD
Battle of Jammu (1712),https://en.wikipedia.org/wiki/Battle_of_Jammu_(1712),1712 AD
Battle of Fladstrand,https://en.wikipedia.org/wiki/Battle_of_Fladstrand,1712 AD
Battle of Denain,https://en.wikipedia.org/wiki/Battle_of_Denain,1712 AD
Action of 31 July 1712,https://en.wikipedia.org/wiki/Action_of_31_July_1712,1712 AD
Action of 17 August 1712,https://en.wikipedia.org/wiki/Action_of_17_August_1712,1712 AD
Battle of Gadebusch,https://en.wikipedia.org/wiki/Battle_of_Gadebusch,1712 AD
Skirmish at Bender,https://en.wikipedia.org/wiki/Skirmish_at_Bender,1713 AD
Fort Neoheroka,https://en.wikipedia.org/wiki/Fort_Neoheroka,1713 AD
Battle of Hogland (1713),https://en.wikipedia.org/wiki/Battle_of_Hogland_(1713),1713 AD
Battle of Pälkäne,https://en.wikipedia.org/wiki/Battle_of_P%C3%A4lk%C3%A4ne,1713 AD
Siege of Tönning,https://en.wikipedia.org/wiki/Siege_of_T%C3%B6nning,1713 AD
Battle of Napue,https://en.wikipedia.org/wiki/Battle_of_Napue,1714 AD
Battle of Storkyro,https://en.wikipedia.org/wiki/Battle_of_Storkyro,1714 AD
Battle of Gangut,https://en.wikipedia.org/wiki/Battle_of_Gangut,1714 AD
Battle of Gurdas Nangal,https://en.wikipedia.org/wiki/Battle_of_Gurdas_Nangal,1715 AD
Battle of Fehmarn (1715),https://en.wikipedia.org/wiki/Battle_of_Fehmarn_(1715),1715 AD
Battle of Pilsud,https://en.wikipedia.org/wiki/Battle_of_Pilsud,1715 AD
Battle of Rügen (1715),https://en.wikipedia.org/wiki/Battle_of_R%C3%BCgen_(1715),1715 AD
Skirmish of Dunfermline,https://en.wikipedia.org/wiki/Skirmish_of_Dunfermline,1715 AD
Skirmish of Alness,https://en.wikipedia.org/wiki/Skirmish_of_Alness,1715 AD
Battle of Preston (1715),https://en.wikipedia.org/wiki/Battle_of_Preston_(1715),1715 AD
Battle of Sheriffmuir,https://en.wikipedia.org/wiki/Battle_of_Sheriffmuir,1715 AD
Battle of Stresow,https://en.wikipedia.org/wiki/Battle_of_Stresow,1715 AD
Siege of Gurdaspur,https://en.wikipedia.org/wiki/Siege_of_Gurdaspur,1715 AD
Battle of Høland,https://en.wikipedia.org/wiki/Battle_of_H%C3%B8land,1716 AD
Battle of Dynekilen,https://en.wikipedia.org/wiki/Battle_of_Dynekilen,1716 AD
Action of 8 July 1716,https://en.wikipedia.org/wiki/Action_of_8_July_1716,1716 AD
Battle of Petrovaradin,https://en.wikipedia.org/wiki/Battle_of_Petrovaradin,1716 AD
Battles at Göta Älv,https://en.wikipedia.org/wiki/Battles_at_G%C3%B6ta_%C3%84lv,1717 AD
Battle of Gothenburg,https://en.wikipedia.org/wiki/Battle_of_Gothenburg,1717 AD
Battle of Imbros (1717),https://en.wikipedia.org/wiki/Battle_of_Imbros_(1717),1717 AD
Battle of Strömstad,https://en.wikipedia.org/wiki/Battle_of_Str%C3%B6mstad,1717 AD
Battle of Matapan,https://en.wikipedia.org/wiki/Battle_of_Matapan,1717 AD
Siege of Belgrade (1717),https://en.wikipedia.org/wiki/Siege_of_Belgrade_(1717),1717 AD
Spanish conquest of Sardinia,https://en.wikipedia.org/wiki/Spanish_conquest_of_Sardinia,1717 AD
1717 Omani invasion of Bahrain,https://en.wikipedia.org/wiki/1717_Omani_invasion_of_Bahrain,1717 AD
Battle of Cape Passaro,https://en.wikipedia.org/wiki/Battle_of_Cape_Passaro,1718 AD
Battle of Cape Fear River (1718),https://en.wikipedia.org/wiki/Battle_of_Cape_Fear_River_(1718),1718 AD
Battle of the Salween River,https://en.wikipedia.org/wiki/Battle_of_the_Salween_River,1718 AD
Battle of Milazzo (1718),https://en.wikipedia.org/wiki/Battle_of_Milazzo_(1718),1718 AD
Siege of Fredriksten,https://en.wikipedia.org/wiki/Siege_of_Fredriksten,1718 AD
Carolean Death March,https://en.wikipedia.org/wiki/Carolean_Death_March,1718 AD
Capture of Eilean Donan Castle,https://en.wikipedia.org/wiki/Capture_of_Eilean_Donan_Castle,1719 AD
Capture of Pensacola (1719),https://en.wikipedia.org/wiki/Capture_of_Pensacola_(1719),1719 AD
Battle of Ösel Island,https://en.wikipedia.org/wiki/Battle_of_%C3%96sel_Island,1719 AD
Battle of Glen Shiel,https://en.wikipedia.org/wiki/Battle_of_Glen_Shiel,1719 AD
Battle of Francavilla,https://en.wikipedia.org/wiki/Battle_of_Francavilla,1719 AD
Attack on Marstrand,https://en.wikipedia.org/wiki/Attack_on_Marstrand,1719 AD
Battle of Stäket,https://en.wikipedia.org/wiki/Battle_of_St%C3%A4ket,1719 AD
Capture of Vigo,https://en.wikipedia.org/wiki/Capture_of_Vigo,1719 AD
Battle of Cape St. Vincent (1719),https://en.wikipedia.org/wiki/Battle_of_Cape_St._Vincent_(1719),1719 AD
Battle of Nassau (1720),https://en.wikipedia.org/wiki/Battle_of_Nassau_(1720),1720 AD
Villasur expedition,https://en.wikipedia.org/wiki/Villasur_expedition,1720 AD
Battle of Grengam,https://en.wikipedia.org/wiki/Battle_of_Grengam,1720 AD
Chinese expedition to Tibet (1720),https://en.wikipedia.org/wiki/Chinese_expedition_to_Tibet_(1720),1720 AD
Attingal Outbreak,https://en.wikipedia.org/wiki/Attingal_Outbreak,1721 AD
Sack of Shamakhi,https://en.wikipedia.org/wiki/Sack_of_Shamakhi,1721 AD
Battle of Fatehpur Sikri,https://en.wikipedia.org/wiki/Battle_of_Fatehpur_Sikri,1721 AD
Battle of Glen Affric,https://en.wikipedia.org/wiki/Battle_of_Glen_Affric,1721 AD
Battle of Coille Bhan,https://en.wikipedia.org/wiki/Battle_of_Coille_Bhan,1721 AD
Battle of Cape Lopez,https://en.wikipedia.org/wiki/Battle_of_Cape_Lopez,1722 AD
Battle of Gulnabad,https://en.wikipedia.org/wiki/Battle_of_Gulnabad,1722 AD
Siege of Isfahan,https://en.wikipedia.org/wiki/Siege_of_Isfahan,1722 AD
Battle of Winnepang,https://en.wikipedia.org/wiki/Battle_of_Winnepang,1722 AD
Peter the Great's capture of Rasht,https://en.wikipedia.org/wiki/Peter_the_Great%27s_capture_of_Rasht,1722 AD
Capture of the schooner Fancy,https://en.wikipedia.org/wiki/Capture_of_the_schooner_Fancy,1723 AD
Battle of Norridgewock,https://en.wikipedia.org/wiki/Battle_of_Norridgewock,1724 AD
Battle of Shakar Kheda,https://en.wikipedia.org/wiki/Battle_of_Shakar_Kheda,1724 AD
Thirteenth siege of Gibraltar,https://en.wikipedia.org/wiki/Thirteenth_siege_of_Gibraltar,1727 AD
Battle of Halidzor,https://en.wikipedia.org/wiki/Battle_of_Halidzor,1727 AD
Action of 11 March 1727,https://en.wikipedia.org/wiki/Action_of_11_March_1727,1727 AD
Battle of Sangan,https://en.wikipedia.org/wiki/Battle_of_Sangan,1727 AD
Battle of Bundelkhand,https://en.wikipedia.org/wiki/Battle_of_Bundelkhand,1729 AD
Herat Campaign of 1729,https://en.wikipedia.org/wiki/Herat_Campaign_of_1729,1729 AD
Battle of Kafer Qal'eh,https://en.wikipedia.org/wiki/Battle_of_Kafer_Qal%27eh,1729 AD
Battle of Herat (1729),https://en.wikipedia.org/wiki/Battle_of_Herat_(1729),1729 AD
Battle of Damghan (1729),https://en.wikipedia.org/wiki/Battle_of_Damghan_(1729),1729 AD
Battle of Khwar Pass,https://en.wikipedia.org/wiki/Battle_of_Khwar_Pass,1729 AD
Battle of Murche-Khort,https://en.wikipedia.org/wiki/Battle_of_Murche-Khort,1729 AD
Liberation of Isfahan,https://en.wikipedia.org/wiki/Liberation_of_Isfahan,1729 AD
Natchez revolt,https://en.wikipedia.org/wiki/Natchez_revolt,1729 AD
Battle of Zarghan,https://en.wikipedia.org/wiki/Battle_of_Zarghan,1730 AD
Herat Campaign of 1731,https://en.wikipedia.org/wiki/Herat_Campaign_of_1731,1731 AD
Samba rebellion,https://en.wikipedia.org/wiki/Samba_rebellion,1731 AD
Ta-Chia-hsi revolt,https://en.wikipedia.org/wiki/Ta-Chia-hsi_revolt,1731 AD
Tahmasp's campaign of 1731,https://en.wikipedia.org/wiki/Tahmasp%27s_campaign_of_1731,1731 AD
Spanish conquest of Oran (1732),https://en.wikipedia.org/wiki/Spanish_conquest_of_Oran_(1732),1732 AD
Battle of Mandsaur,https://en.wikipedia.org/wiki/Battle_of_Mandsaur,1732 AD
Nader's Mesopotamian Campaign,https://en.wikipedia.org/wiki/Nader%27s_Mesopotamian_Campaign,1732 AD
Battle of Samarra (1733),https://en.wikipedia.org/wiki/Battle_of_Samarra_(1733),1733 AD
Siege of Kehl (1733),https://en.wikipedia.org/wiki/Siege_of_Kehl_(1733),1733 AD
Battle of Kirkuk (1733),https://en.wikipedia.org/wiki/Battle_of_Kirkuk_(1733),1733 AD
Siege of Pizzighettone,https://en.wikipedia.org/wiki/Siege_of_Pizzighettone,1733 AD
1733 slave insurrection on St. John,https://en.wikipedia.org/wiki/1733_slave_insurrection_on_St._John,1733 AD
Siege of Danzig (1734),https://en.wikipedia.org/wiki/Siege_of_Danzig_(1734),1734 AD
Siege of Gaeta (1734),https://en.wikipedia.org/wiki/Siege_of_Gaeta_(1734),1734 AD
Siege of Trarbach,https://en.wikipedia.org/wiki/Siege_of_Trarbach,1734 AD
Siege of Capua (1734),https://en.wikipedia.org/wiki/Siege_of_Capua_(1734),1734 AD
Battle of Bitonto,https://en.wikipedia.org/wiki/Battle_of_Bitonto,1734 AD
Battle of Colorno,https://en.wikipedia.org/wiki/Battle_of_Colorno,1734 AD
Siege of Philippsburg (1734),https://en.wikipedia.org/wiki/Siege_of_Philippsburg_(1734),1734 AD
Battle of San Pietro,https://en.wikipedia.org/wiki/Battle_of_San_Pietro,1734 AD
Battle of Guastalla,https://en.wikipedia.org/wiki/Battle_of_Guastalla,1734 AD
Battle of Yeghevārd,https://en.wikipedia.org/wiki/Battle_of_Yeghev%C4%81rd,1735 AD
Battle of Clausen,https://en.wikipedia.org/wiki/Battle_of_Clausen,1735 AD
Battle of Delhi (1737),https://en.wikipedia.org/wiki/Battle_of_Delhi_(1737),1737 AD
Siege of Kandahar,https://en.wikipedia.org/wiki/Siege_of_Kandahar,1737 AD
Siege of Ochakov (1737),https://en.wikipedia.org/wiki/Siege_of_Ochakov_(1737),1737 AD
Battle of Banja Luka,https://en.wikipedia.org/wiki/Battle_of_Banja_Luka,1737 AD
Battle of Bhopal,https://en.wikipedia.org/wiki/Battle_of_Bhopal,1737 AD
Battle of the Dindar River,https://en.wikipedia.org/wiki/Battle_of_the_Dindar_River,1738 AD
Battle of Khyber Pass,https://en.wikipedia.org/wiki/Battle_of_Khyber_Pass,1738 AD
Battle of Vasai,https://en.wikipedia.org/wiki/Battle_of_Vasai,1739 AD
Battle of Karnal,https://en.wikipedia.org/wiki/Battle_of_Karnal,1739 AD
Battle of Grocka,https://en.wikipedia.org/wiki/Battle_of_Grocka,1739 AD
Capture of Belgrade (1739),https://en.wikipedia.org/wiki/Capture_of_Belgrade_(1739),1739 AD
Battle of Stavuchany,https://en.wikipedia.org/wiki/Battle_of_Stavuchany,1739 AD
Stono Rebellion,https://en.wikipedia.org/wiki/Stono_Rebellion,1739 AD
Battle of Porto Bello (1739),https://en.wikipedia.org/wiki/Battle_of_Porto_Bello_(1739),1739 AD
Action of 8 April 1740,https://en.wikipedia.org/wiki/Action_of_8_April_1740,1740 AD
Battle of Giria,https://en.wikipedia.org/wiki/Battle_of_Giria,1740 AD
Siege of St. Augustine (1740),https://en.wikipedia.org/wiki/Siege_of_St._Augustine_(1740),1740 AD
Siege of Fort Mose,https://en.wikipedia.org/wiki/Siege_of_Fort_Mose,1740 AD
Attacks on Fuerteventura in 1740,https://en.wikipedia.org/wiki/Attacks_on_Fuerteventura_in_1740,1740 AD
Siege of Trichinopoly (1741),https://en.wikipedia.org/wiki/Siege_of_Trichinopoly_(1741),1741 AD
Battle of Cartagena de Indias,https://en.wikipedia.org/wiki/Battle_of_Cartagena_de_Indias,1741 AD
Battle of Mollwitz,https://en.wikipedia.org/wiki/Battle_of_Mollwitz,1741 AD
Battle of Gangwana,https://en.wikipedia.org/wiki/Battle_of_Gangwana,1741 AD
Invasion of Cuba (1741),https://en.wikipedia.org/wiki/Invasion_of_Cuba_(1741),1741 AD
Battle of Colachel,https://en.wikipedia.org/wiki/Battle_of_Colachel,1741 AD
Battle of Villmanstrand,https://en.wikipedia.org/wiki/Battle_of_Villmanstrand,1741 AD
Battle of Chotusitz,https://en.wikipedia.org/wiki/Battle_of_Chotusitz,1742 AD
Battle of Sahay,https://en.wikipedia.org/wiki/Battle_of_Sahay,1742 AD
Action of 14 June 1742,https://en.wikipedia.org/wiki/Action_of_14_June_1742,1742 AD
Siege of Prague (1742),https://en.wikipedia.org/wiki/Siege_of_Prague_(1742),1742 AD
Invasion of Georgia (1742),https://en.wikipedia.org/wiki/Invasion_of_Georgia_(1742),1742 AD
Battle of Bloody Marsh,https://en.wikipedia.org/wiki/Battle_of_Bloody_Marsh,1742 AD
Battle of Gully Hole Creek,https://en.wikipedia.org/wiki/Battle_of_Gully_Hole_Creek,1742 AD
First Battle of Katwa,https://en.wikipedia.org/wiki/First_Battle_of_Katwa,1742 AD
Battle of Campo Santo,https://en.wikipedia.org/wiki/Battle_of_Campo_Santo,1743 AD
Battle of La Guaira,https://en.wikipedia.org/wiki/Battle_of_La_Guaira,1743 AD
Siege of Trichinopoly (1743),https://en.wikipedia.org/wiki/Siege_of_Trichinopoly_(1743),1743 AD
Battle of Puerto Cabello,https://en.wikipedia.org/wiki/Battle_of_Puerto_Cabello,1743 AD
Dalecarlian rebellion (1743),https://en.wikipedia.org/wiki/Dalecarlian_rebellion_(1743),1743 AD
Battle of Dettingen,https://en.wikipedia.org/wiki/Battle_of_Dettingen,1743 AD
Siege of Mosul (1743),https://en.wikipedia.org/wiki/Siege_of_Mosul_(1743),1743 AD
Moḥammad Taqi Khan Shirazi's Rebellion,https://en.wikipedia.org/wiki/Mo%E1%B8%A5ammad_Taqi_Khan_Shirazi%27s_Rebellion,1744 AD
Battle of Toulon (1744),https://en.wikipedia.org/wiki/Battle_of_Toulon_(1744),1744 AD
Siege of Villafranca (1744),https://en.wikipedia.org/wiki/Siege_of_Villafranca_(1744),1744 AD
Battle of Villafranca (1744),https://en.wikipedia.org/wiki/Battle_of_Villafranca_(1744),1744 AD
Action of 8 May 1744,https://en.wikipedia.org/wiki/Action_of_8_May_1744,1744 AD
Raid on Canso,https://en.wikipedia.org/wiki/Raid_on_Canso,1744 AD
Siege of Annapolis Royal (1744),https://en.wikipedia.org/wiki/Siege_of_Annapolis_Royal_(1744),1744 AD
Battle of Casteldelfino,https://en.wikipedia.org/wiki/Battle_of_Casteldelfino,1744 AD
Battle of Velletri (1744),https://en.wikipedia.org/wiki/Battle_of_Velletri_(1744),1744 AD
Battle of Nuwakot,https://en.wikipedia.org/wiki/Battle_of_Nuwakot,1744 AD
Battle of Madonna dell'Olmo,https://en.wikipedia.org/wiki/Battle_of_Madonna_dell%27Olmo,1744 AD
Battle of Belkot,https://en.wikipedia.org/wiki/Battle_of_Belkot,1744 AD
Battle of Pfaffenhofen,https://en.wikipedia.org/wiki/Battle_of_Pfaffenhofen,1745 AD
Siege of Annapolis Royal (1745),https://en.wikipedia.org/wiki/Siege_of_Annapolis_Royal_(1745),1745 AD
Battle of Fontenoy,https://en.wikipedia.org/wiki/Battle_of_Fontenoy,1745 AD
Siege of Louisbourg (1745),https://en.wikipedia.org/wiki/Siege_of_Louisbourg_(1745),1745 AD
Capture of Vigilant,https://en.wikipedia.org/wiki/Capture_of_Vigilant,1745 AD
Battle of Anguilla,https://en.wikipedia.org/wiki/Battle_of_Anguilla,1745 AD
Battle of Hohenfriedberg,https://en.wikipedia.org/wiki/Battle_of_Hohenfriedberg,1745 AD
Naval battle off Tatamagouche,https://en.wikipedia.org/wiki/Naval_battle_off_Tatamagouche,1745 AD
Battle of Melle,https://en.wikipedia.org/wiki/Battle_of_Melle,1745 AD
Fall of Ghent,https://en.wikipedia.org/wiki/Fall_of_Ghent,1745 AD
Highbridge Skirmish,https://en.wikipedia.org/wiki/Highbridge_Skirmish,1745 AD
Battle of Kars (1745),https://en.wikipedia.org/wiki/Battle_of_Kars_(1745),1745 AD
Siege of Ruthven Barracks (1745),https://en.wikipedia.org/wiki/Siege_of_Ruthven_Barracks_(1745),1745 AD
Siege of Ostend (1745),https://en.wikipedia.org/wiki/Siege_of_Ostend_(1745),1745 AD
Battle of Prestonpans,https://en.wikipedia.org/wiki/Battle_of_Prestonpans,1745 AD
Battle of Bassignano,https://en.wikipedia.org/wiki/Battle_of_Bassignano,1745 AD
Battle of Soor,https://en.wikipedia.org/wiki/Battle_of_Soor,1745 AD
Siege of Culloden House (1745),https://en.wikipedia.org/wiki/Siege_of_Culloden_House_(1745),1745 AD
Siege of Carlisle (November 1745),https://en.wikipedia.org/wiki/Siege_of_Carlisle_(November_1745),1745 AD
Battle of Hennersdorf,https://en.wikipedia.org/wiki/Battle_of_Hennersdorf,1745 AD
Raid on Saratoga,https://en.wikipedia.org/wiki/Raid_on_Saratoga,1745 AD
Battle of Kesselsdorf,https://en.wikipedia.org/wiki/Battle_of_Kesselsdorf,1745 AD
Clifton Moor Skirmish,https://en.wikipedia.org/wiki/Clifton_Moor_Skirmish,1745 AD
Siege of Carlisle (December 1745),https://en.wikipedia.org/wiki/Siege_of_Carlisle_(December_1745),1745 AD
Battle of Inverurie (1745),https://en.wikipedia.org/wiki/Battle_of_Inverurie_(1745),1745 AD
Second Battle of Katwa,https://en.wikipedia.org/wiki/Second_Battle_of_Katwa,1745 AD
Siege of Fort Augustus (December 1745),https://en.wikipedia.org/wiki/Siege_of_Fort_Augustus_(December_1745),1745 AD
Battle of Falkirk (1746),https://en.wikipedia.org/wiki/Battle_of_Falkirk_(1746),1746 AD
Siege of Stirling Castle (1746),https://en.wikipedia.org/wiki/Siege_of_Stirling_Castle_(1746),1746 AD
Siege of Brussels,https://en.wikipedia.org/wiki/Siege_of_Brussels,1746 AD
Siege of Ruthven Barracks (1746),https://en.wikipedia.org/wiki/Siege_of_Ruthven_Barracks_(1746),1746 AD
Siege of Inverness (1746),https://en.wikipedia.org/wiki/Siege_of_Inverness_(1746),1746 AD
Siege of Fort Augustus (March 1746),https://en.wikipedia.org/wiki/Siege_of_Fort_Augustus_(March_1746),1746 AD
Atholl raids,https://en.wikipedia.org/wiki/Atholl_raids,1746 AD
Siege of Blair Castle,https://en.wikipedia.org/wiki/Siege_of_Blair_Castle,1746 AD
Skirmish of Keith,https://en.wikipedia.org/wiki/Skirmish_of_Keith,1746 AD
Battle of Dornoch,https://en.wikipedia.org/wiki/Battle_of_Dornoch,1746 AD
Siege of Fort William,https://en.wikipedia.org/wiki/Siege_of_Fort_William,1746 AD
Skirmish of Tongue,https://en.wikipedia.org/wiki/Skirmish_of_Tongue,1746 AD
Battle of Littleferry,https://en.wikipedia.org/wiki/Battle_of_Littleferry,1746 AD
Battle of Culloden Moor,https://en.wikipedia.org/wiki/Battle_of_Culloden_Moor,1746 AD
Skirmish of Loch nan Uamh,https://en.wikipedia.org/wiki/Skirmish_of_Loch_nan_Uamh,1746 AD
Skirmish of Loch Ailort,https://en.wikipedia.org/wiki/Skirmish_of_Loch_Ailort,1746 AD
Skirmish of Arisaig,https://en.wikipedia.org/wiki/Skirmish_of_Arisaig,1746 AD
Raids on Lochaber and Shiramore,https://en.wikipedia.org/wiki/Raids_on_Lochaber_and_Shiramore,1746 AD
Battle at Port-la-Joye,https://en.wikipedia.org/wiki/Battle_at_Port-la-Joye,1746 AD
Battle of Piacenza,https://en.wikipedia.org/wiki/Battle_of_Piacenza,1746 AD
Action of 6 July 1746,https://en.wikipedia.org/wiki/Action_of_6_July_1746,1746 AD
Battle of Rottofreddo,https://en.wikipedia.org/wiki/Battle_of_Rottofreddo,1746 AD
Siege of Fort Massachusetts,https://en.wikipedia.org/wiki/Siege_of_Fort_Massachusetts,1746 AD
Battle of Madras,https://en.wikipedia.org/wiki/Battle_of_Madras,1746 AD
Raid on Lorient,https://en.wikipedia.org/wiki/Raid_on_Lorient,1746 AD
Battle of Rocoux,https://en.wikipedia.org/wiki/Battle_of_Rocoux,1746 AD
Battle of Adyar,https://en.wikipedia.org/wiki/Battle_of_Adyar,1746 AD
Siege of Antibes,https://en.wikipedia.org/wiki/Siege_of_Antibes,1746 AD
Siege of Genoa (1746),https://en.wikipedia.org/wiki/Siege_of_Genoa_(1746),1746 AD
Battle of Grand Pré,https://en.wikipedia.org/wiki/Battle_of_Grand_Pr%C3%A9,1747 AD
Battle of Rajamahal,https://en.wikipedia.org/wiki/Battle_of_Rajamahal,1747 AD
Battle of Burdwan,https://en.wikipedia.org/wiki/Battle_of_Burdwan,1747 AD
Siege of Fort at Number 4,https://en.wikipedia.org/wiki/Siege_of_Fort_at_Number_4,1747 AD
First Battle of Cape Finisterre (1747),https://en.wikipedia.org/wiki/First_Battle_of_Cape_Finisterre_(1747),1747 AD
Battle of Lauffeld,https://en.wikipedia.org/wiki/Battle_of_Lauffeld,1747 AD
Battle of Assietta,https://en.wikipedia.org/wiki/Battle_of_Assietta,1747 AD
Voyage of the Glorioso,https://en.wikipedia.org/wiki/Voyage_of_the_Glorioso,1747 AD
Siege of Bergen op Zoom (1747),https://en.wikipedia.org/wiki/Siege_of_Bergen_op_Zoom_(1747),1747 AD
Raid on Matina,https://en.wikipedia.org/wiki/Raid_on_Matina,1747 AD
Second Battle of Cape Finisterre,https://en.wikipedia.org/wiki/Second_Battle_of_Cape_Finisterre,1747 AD
Siege of Genoa (1747),https://en.wikipedia.org/wiki/Siege_of_Genoa_(1747),1747 AD
Action of 31 January 1748,https://en.wikipedia.org/wiki/Action_of_31_January_1748,1748 AD
Battle of Manupur (1748),https://en.wikipedia.org/wiki/Battle_of_Manupur_(1748),1748 AD
Action of 18 March 1748,https://en.wikipedia.org/wiki/Action_of_18_March_1748,1748 AD
Battle of Saint-Louis-du-Sud,https://en.wikipedia.org/wiki/Battle_of_Saint-Louis-du-Sud,1748 AD
Battle of Santiago de Cuba (1748),https://en.wikipedia.org/wiki/Battle_of_Santiago_de_Cuba_(1748),1748 AD
Siege of Maastricht (1748),https://en.wikipedia.org/wiki/Siege_of_Maastricht_(1748),1748 AD
Siege of Cuddalore (1748),https://en.wikipedia.org/wiki/Siege_of_Cuddalore_(1748),1748 AD
Battle of Bagru,https://en.wikipedia.org/wiki/Battle_of_Bagru,1748 AD
Siege of Pondicherry (1748),https://en.wikipedia.org/wiki/Siege_of_Pondicherry_(1748),1748 AD
Raid on Brunswick Town,https://en.wikipedia.org/wiki/Raid_on_Brunswick_Town,1748 AD
Battle of Havana (1748),https://en.wikipedia.org/wiki/Battle_of_Havana_(1748),1748 AD
1749 Muslim slave revolt in Malta,https://en.wikipedia.org/wiki/1749_Muslim_slave_revolt_in_Malta,1749 AD
Battle of Ambur,https://en.wikipedia.org/wiki/Battle_of_Ambur,1749 AD
