battle,link,date,latitude,longitude
Battle of Protopachium,https://en.wikipedia.org/wiki/Battle_of_Protopachium,89 BC,41.6,35.0
Battle of Mount Scorobas,https://en.wikipedia.org/wiki/Battle_of_Mount_Scorobas,88 BC,41.11666694,30.63333306
Battle of Chaeronea,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(86_BC),86 BC,38.501,22.864
Battle of Orchomenus,https://en.wikipedia.org/wiki/Battle_of_Orchomenus,85 BC,38.48,22.98
Battle of Mount Tifata,https://en.wikipedia.org/wiki/Battle_of_Mount_Tifata,83 BC,41.06586389,14.17001389
Battle of Lauron,https://en.wikipedia.org/wiki/Battle_of_Lauron,76 BC,39.15222,-0.4425
Siege of Heraclea,https://en.wikipedia.org/wiki/Siege_of_Heraclea,72-71 BC,41.28472,31.41472
Battle of Tigranocerta,https://en.wikipedia.org/wiki/Battle_of_Tigranocerta,69 BC,38.1422,41.0014
Battle of Artaxata,https://en.wikipedia.org/wiki/Battle_of_Artaxata,68 BC,39.885,44.57620806
Battle of Korakesion,https://en.wikipedia.org/wiki/Battle_of_Korakesion,67 BC,36.53,32.01
Battle of Zela (67 BC),https://en.wikipedia.org/wiki/Battle_of_Zela_(67_BC),67 BC,40.3,35.883
Battle of the Arar,https://en.wikipedia.org/wiki/Battle_of_the_Arar,58 BC,45.940617,4.774236
Battle of Bibracte,https://en.wikipedia.org/wiki/Battle_of_Bibracte,58 BC,46.91666694,4.03333306
